iter	Logloss
0	0.6787534298
1	0.6654306282
2	0.6531009924
3	0.6410791246
4	0.6303979927
5	0.6200580325
6	0.6111971109
7	0.6025989298
8	0.5951782085
9	0.587199269
10	0.5807004639
11	0.5741480493
12	0.568278348
13	0.5628949072
14	0.5578711959
15	0.5534291656
16	0.5492641692
17	0.5449006363
18	0.5411986603
19	0.5374284419
20	0.5338298385
21	0.5306204184
22	0.5275827614
23	0.5246955437
24	0.5219506381
25	0.5193863917
26	0.5171094685
27	0.5152631072
28	0.512920767
29	0.5108526838
30	0.509216783
31	0.5076919622
32	0.5061559896
33	0.5045593139
34	0.502920716
35	0.5012386154
36	0.4998043521
37	0.4982433906
38	0.4971865604
39	0.4958205507
40	0.4947341346
41	0.4935459918
42	0.4924561824
43	0.4915456561
44	0.4906085326
45	0.4895556627
46	0.4886679402
47	0.4876863732
48	0.4868521679
49	0.4860435839
50	0.485173356
51	0.4844543491
52	0.4837685729
53	0.4829388451
54	0.4821266023
55	0.4815304569
56	0.48089064
57	0.4802415165
58	0.4796335308
59	0.4790702028
60	0.4783547234
61	0.4777710733
62	0.4771198952
63	0.476623042
64	0.4760767639
65	0.4755638357
66	0.4750352734
67	0.4746233954
68	0.4740098793
69	0.4735311867
70	0.4730906986
71	0.4726031361
72	0.4721459838
73	0.4716947924
74	0.4712232235
75	0.4708060792
76	0.4703385928
77	0.4699196344
78	0.4695668007
79	0.4693119659
80	0.4688278532
81	0.4684141959
82	0.4680451249
83	0.4675815632
84	0.4673246099
85	0.4668028394
86	0.4664963515
87	0.4661907856
88	0.4659008898
89	0.4655951169
90	0.4652184941
91	0.4649681974
92	0.4647102825
93	0.464555274
94	0.4642043652
95	0.4639046352
96	0.4635398486
97	0.4632476035
98	0.4628566908
99	0.4625296
100	0.4622610303
101	0.4620008237
102	0.4617571257
103	0.4615405787
104	0.4612088356
105	0.4610103634
106	0.4607240267
107	0.4604722631
108	0.4601909732
109	0.4599341329
110	0.459562872
111	0.4593502362
112	0.4591616325
113	0.4588891052
114	0.4586513487
115	0.4584125416
116	0.4581043924
117	0.4578650819
118	0.4576661769
119	0.4573475307
120	0.4571158393
121	0.4568521131
122	0.4565819857
123	0.4562967511
124	0.4560841734
125	0.4558676119
126	0.455631271
127	0.4553130516
128	0.4551188428
129	0.454887144
130	0.4546659941
131	0.4544300085
132	0.4542926861
133	0.4540174313
134	0.4538236968
135	0.4535931797
136	0.4533679196
137	0.4532114772
