iter	Passed	Remaining
0	33	33270
1	60	30194
2	89	29602
3	120	30081
4	153	30580
5	177	29472
6	206	29339
7	238	29539
8	262	28858
9	293	29070
10	324	29170
11	356	29389
12	382	29076
13	414	29224
14	443	29149
15	470	28911
16	503	29096
17	531	28969
18	558	28848
19	582	28544
20	612	28568
21	636	28311
22	666	28298
23	694	28242
24	723	28226
25	753	28241
26	783	28241
27	811	28176
28	839	28098
29	869	28122
30	898	28079
31	927	28071
32	954	27968
33	991	28162
34	1019	28113
35	1045	28008
36	1074	27965
37	1103	27944
38	1130	27851
39	1162	27892
40	1192	27890
41	1223	27899
42	1248	27788
43	1278	27771
44	1308	27779
45	1337	27738
46	1369	27766
47	1402	27808
48	1433	27814
49	1459	27733
50	1492	27766
51	1522	27757
52	1551	27722
53	1577	27636
54	1606	27606
55	1633	27529
56	1657	27415
57	1686	27390
58	1716	27371
59	1742	27305
60	1773	27298
61	1802	27274
62	1825	27156
63	1854	27116
64	1884	27100
65	1908	27002
66	1937	26981
67	1967	26960
68	1994	26908
69	2023	26887
70	2053	26873
71	2078	26789
72	2107	26760
73	2137	26752
74	2163	26685
75	2191	26641
76	2220	26618
77	2245	26545
78	2274	26521
79	2305	26517
80	2337	26519
81	2364	26473
82	2393	26442
83	2422	26421
84	2451	26390
85	2479	26357
86	2510	26340
87	2548	26412
88	2577	26381
89	2607	26362
90	2636	26333
91	2670	26356
92	2697	26311
93	2727	26291
94	2757	26269
95	2785	26229
96	2816	26219
97	2847	26205
98	2879	26205
99	2906	26162
100	2936	26139
101	2964	26097
102	2990	26041
103	3020	26025
104	3049	25993
105	3075	25938
106	3103	25904
107	3131	25862
108	3162	25847
109	3189	25805
110	3218	25776
111	3248	25759
112	3275	25714
113	3305	25691
114	3339	25698
115	3365	25646
116	3393	25613
117	3423	25587
118	3452	25557
119	3481	25529
120	3511	25512
121	3542	25497
122	3579	25525
123	3609	25497
124	3639	25478
125	3672	25477
126	3700	25434
127	3726	25388
128	3756	25364
129	3784	25326
130	3809	25269
131	3840	25251
132	3869	25226
133	3898	25191
134	3927	25163
135	3958	25149
136	3993	25153
137	4020	25115
138	4050	25088
139	4077	25048
140	4103	25002
141	4133	24978
142	4164	24957
143	4191	24914
144	4221	24893
145	4253	24877
146	4282	24850
147	4313	24832
148	4341	24794
149	4370	24765
150	4401	24747
151	4429	24713
152	4456	24671
153	4485	24642
154	4513	24606
155	4538	24556
156	4567	24524
157	4596	24495
158	4628	24480
159	4659	24462
160	4689	24438
161	4717	24404
162	4748	24383
163	4776	24349
164	4804	24313
165	4832	24280
166	4861	24248
167	4892	24228
168	4919	24191
169	4955	24193
170	4983	24160
171	5008	24113
172	5039	24091
173	5066	24052
174	5093	24014
175	5119	23969
176	5144	23921
177	5170	23876
178	5198	23842
179	5229	23821
180	5256	23785
181	5282	23743
182	5312	23717
183	5340	23683
184	5366	23643
185	5394	23608
186	5419	23563
187	5446	23525
188	5472	23481
189	5499	23446
190	5527	23413
191	5553	23372
192	5581	23339
193	5609	23306
194	5636	23270
195	5663	23230
196	5692	23201
197	5717	23160
198	5748	23136
199	5778	23115
200	5810	23098
201	5837	23062
202	5868	23039
203	5899	23017
204	5924	22974
205	5959	22969
206	5990	22950
207	6019	22918
208	6046	22882
209	6076	22858
210	6104	22827
211	6132	22796
212	6161	22766
213	6189	22734
214	6216	22698
215	6247	22675
216	6277	22652
217	6307	22626
218	6334	22589
219	6364	22566
220	6395	22543
221	6421	22502
222	6450	22475
223	6488	22478
224	6516	22444
225	6544	22413
226	6573	22383
227	6602	22356
228	6633	22335
229	6660	22298
230	6691	22274
231	6721	22251
232	6746	22208
233	6776	22182
234	6808	22162
235	6833	22123
236	6865	22102
237	6895	22075
238	6924	22047
239	6953	22020
240	6982	21990
241	7012	21963
242	7046	21951
243	7075	21921
244	7108	21906
245	7139	21883
246	7164	21841
247	7194	21815
248	7223	21785
249	7254	21764
250	7284	21737
251	7313	21708
252	7343	21681
253	7372	21652
254	7401	21622
255	7429	21590
256	7453	21548
257	7481	21516
258	7511	21490
259	7536	21450
260	7565	21422
261	7593	21390
262	7621	21357
263	7647	21321
264	7675	21288
265	7700	21249
266	7729	21218
267	7755	21182
268	7782	21149
269	7811	21120
270	7842	21095
271	7868	21059
272	7897	21031
273	7933	21020
274	7961	20988
275	7988	20954
276	8020	20933
277	8050	20908
278	8078	20876
279	8106	20846
280	8138	20823
281	8167	20796
282	8194	20762
283	8223	20733
284	8253	20707
285	8287	20689
286	8311	20649
287	8340	20618
288	8365	20582
289	8396	20556
290	8426	20530
291	8456	20505
292	8481	20466
293	8509	20435
294	8540	20410
295	8566	20375
296	8597	20350
297	8625	20319
298	8653	20288
299	8683	20261
300	8712	20233
301	8737	20194
302	8766	20166
303	8796	20140
304	8820	20098
305	8843	20057
306	8870	20022
307	8894	19984
308	8926	19961
309	8957	19938
310	8983	19901
311	9011	19872
312	9046	19856
313	9074	19826
